objectid,monitoring_location_identifier,organization_formal,monitoring_location,latitude,longitude,Date,start_time,start_timezone,depth,depth_height_unit,characteristic,sample_fraction,sea_water_temperature,uom,note,x,y
704,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.7,deg C,,-9799744.771,3584752.1692
705,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.9,deg C,,-9799744.771,3584752.1692
706,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.7,deg C,,-9799744.771,3584752.1692
707,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.6,deg C,,-9799744.771,3584752.1692
708,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.4,deg C,,-9799744.771,3584752.1692
709,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.3,deg C,,-9799744.771,3584752.1692
710,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.2,deg C,,-9799744.771,3584752.1692
711,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.1,deg C,,-9799744.771,3584752.1692
712,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.0,deg C,,-9799744.771,3584752.1692
713,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.9,deg C,,-9799744.771,3584752.1692
714,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.8,deg C,,-9799744.771,3584752.1692
715,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.7,deg C,,-9799744.771,3584752.1692
716,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.8,deg C,,-9799744.771,3584752.1692
717,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.0,deg C,,-9799744.771,3584752.1692
718,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,26.5,deg C,,-9799744.771,3584752.1692
719,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.0,deg C,,-9799744.771,3584752.1692
720,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.7,deg C,,-9799744.771,3584752.1692
721,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.5,deg C,,-9799744.771,3584752.1692
722,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.6,deg C,,-9799744.771,3584752.1692
723,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.1,deg C,,-9799744.771,3584752.1692
724,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.5,deg C,,-9799744.771,3584752.1692
725,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.4,deg C,,-9799744.771,3584752.1692
726,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.2,deg C,,-9799744.771,3584752.1692
727,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,25.0,deg C,,-9799744.771,3584752.1692
728,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.9,deg C,,-9799744.771,3584752.1692
729,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.8,deg C,,-9799744.771,3584752.1692
730,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.7,deg C,,-9799744.771,3584752.1692
731,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.5,deg C,,-9799744.771,3584752.1692
732,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.4,deg C,,-9799744.771,3584752.1692
733,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.3,deg C,,-9799744.771,3584752.1692
734,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.2,deg C,,-9799744.771,3584752.1692
735,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.1,deg C,,-9799744.771,3584752.1692
736,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,24.0,deg C,,-9799744.771,3584752.1692
737,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.9,deg C,,-9799744.771,3584752.1692
738,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.8,deg C,,-9799744.771,3584752.1692
739,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.7,deg C,,-9799744.771,3584752.1692
740,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.6,deg C,,-9799744.771,3584752.1692
741,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.5,deg C,,-9799744.771,3584752.1692
742,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.4,deg C,,-9799744.771,3584752.1692
743,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.3,deg C,,-9799744.771,3584752.1692
744,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.2,deg C,,-9799744.771,3584752.1692
745,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.1,deg C,,-9799744.771,3584752.1692
746,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,23.0,deg C,,-9799744.771,3584752.1692
747,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.9,deg C,,-9799744.771,3584752.1692
748,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.8,deg C,,-9799744.771,3584752.1692
749,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.7,deg C,,-9799744.771,3584752.1692
750,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.6,deg C,,-9799744.771,3584752.1692
751,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.5,deg C,,-9799744.771,3584752.1692
752,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.4,deg C,,-9799744.771,3584752.1692
753,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.3,deg C,,-9799744.771,3584752.1692
754,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.2,deg C,,-9799744.771,3584752.1692
755,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.1,deg C,,-9799744.771,3584752.1692
756,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,22.0,deg C,,-9799744.771,3584752.1692
757,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.9,deg C,,-9799744.771,3584752.1692
758,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.8,deg C,,-9799744.771,3584752.1692
759,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.7,deg C,,-9799744.771,3584752.1692
760,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.6,deg C,,-9799744.771,3584752.1692
761,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.5,deg C,,-9799744.771,3584752.1692
762,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.4,deg C,,-9799744.771,3584752.1692
763,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.3,deg C,,-9799744.771,3584752.1692
764,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.2,deg C,,-9799744.771,3584752.1692
765,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.1,deg C,,-9799744.771,3584752.1692
766,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,21.0,deg C,,-9799744.771,3584752.1692
767,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.9,deg C,,-9799744.771,3584752.1692
768,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.8,deg C,,-9799744.771,3584752.1692
769,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.7,deg C,,-9799744.771,3584752.1692
770,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.6,deg C,,-9799744.771,3584752.1692
771,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.5,deg C,,-9799744.771,3584752.1692
772,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.4,deg C,,-9799744.771,3584752.1692
773,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,20.3,deg C,,-9799744.771,3584752.1692
1937,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,1985-08-15,17:30:00,UTC,,m,Temperature,,28.0,deg C,,-9823734.1268,3555832.6539
2123,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,21.64,deg C,,-9823734.1268,3555832.6539
2124,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,23.81,deg C,,-9823734.1268,3555832.6539
2125,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,24.05,deg C,,-9823734.1268,3555832.6539
2126,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,24.31,deg C,,-9823734.1268,3555832.6539
2127,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,24.19,deg C,,-9823734.1268,3555832.6539
2128,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,24.12,deg C,,-9823734.1268,3555832.6539
2129,21AWIC-385,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLB-1,30.4059,-88.2481,2005-10-24,16:40:00,UTC,,m,Temperature,,24.04,deg C,,-9823734.1268,3555832.6539
2371,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,21.43,deg C,,-9826172.0242,3553354.7176
2372,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,21.42,deg C,,-9826172.0242,3553354.7176
2373,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,21.29,deg C,,-9826172.0242,3553354.7176
2374,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,21.19,deg C,,-9826172.0242,3553354.7176
2375,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,20.98,deg C,,-9826172.0242,3553354.7176
2376,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,20.4,deg C,,-9826172.0242,3553354.7176
2377,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,19.9,deg C,,-9826172.0242,3553354.7176
2378,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,19.59,deg C,,-9826172.0242,3553354.7176
2379,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,19.51,deg C,,-9826172.0242,3553354.7176
2380,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,19.44,deg C,,-9826172.0242,3553354.7176
2381,21AWIC-386,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,BLBM-1,30.3867,-88.27,2005-10-24,15:30:00,UTC,,m,Temperature,,19.48,deg C,,-9826172.0242,3553354.7176
2729,21AWIC-1279,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-9,30.406,-88.0666,2007-09-13,15:10:00,UTC,,m,Temperature,,29.41,deg C,,-9803529.6336,3555845.5618
2730,21AWIC-1279,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-9,30.406,-88.0666,2007-09-13,15:10:00,UTC,,m,Temperature,,29.42,deg C,,-9803529.6336,3555845.5618
2731,21AWIC-1279,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-9,30.406,-88.0666,2007-09-13,15:10:00,UTC,,m,Temperature,,29.4,deg C,,-9803529.6336,3555845.5618
